feature,delta,abs_delta
tenure_days,45.28599445867865,45.28599445867865
review_length,-23.1993249554248,23.1993249554248
word_count,-4.512814835617192,4.512814835617192
review_count,0.7370584657039396,0.7370584657039396
deberta_spam_prob,-0.31139128643952524,0.31139128643952524
exclamation_count,-0.23056933597671336,0.23056933597671336
burst_score,0.19083919917456305,0.19083919917456305
avg_rating,0.1457030398657615,0.1457030398657615
avg_word_length,0.1269552058023784,0.1269552058023784
rating_entropy,0.1102252995638136,0.1102252995638136
