feature,delta,abs_delta
tenure_days,-474.9580843623211,474.9580843623211
review_length,-173.42511111772995,173.42511111772995
word_count,-32.03298439215078,32.03298439215078
review_count,-8.812433646340171,8.812433646340171
burst_score,-0.7453922006951872,0.7453922006951872
reviews_per_week,0.5619202598349633,0.5619202598349633
rating_entropy,-0.516431586596874,0.516431586596874
max_seller_fraction,0.3043693002342542,0.3043693002342542
rating_std,-0.2599041415431709,0.2599041415431709
exclamation_count,-0.17952789736153274,0.17952789736153274
