user_id,dbscan_cluster,spam_rate
5050,0,1.0
5087,1,0.0
5089,2,0.0
5093,3,0.0
5094,-1,0.0
5099,-1,0.0
5111,4,0.0
5115,5,0.0
5128,3,0.0
5130,6,0.0
5156,3,0.0
5175,0,0.0
5177,7,0.0
5180,8,0.0909090909090909
5184,0,0.0
5186,8,0.0
5188,-1,0.0
5193,9,0.0
5194,0,0.0
5203,2,1.0
5207,10,1.0
5222,11,0.0
5226,12,0.0
5232,13,0.0
5237,5,0.0
5242,13,0.0
5245,6,0.0
5251,-1,0.0
5266,3,0.0
5273,6,1.0
5279,13,1.0
5300,0,1.0
5303,0,1.0
5315,0,1.0
5316,14,0.0
5318,0,0.0
5322,8,0.0
5329,8,0.0
5331,-1,0.0
5337,0,0.0
5358,3,0.0
5369,15,0.0
5373,0,0.0
5380,3,0.0
5394,3,0.0
5395,0,0.0
5399,16,0.0
5402,8,0.0
5407,0,0.0
5410,6,0.0
5427,17,0.0
5437,-1,0.0
5443,18,0.0
5456,-1,0.0
5483,9,0.2
5486,19,0.0
5487,9,0.0
5502,3,0.0
5504,-1,0.0
5514,0,0.0
5516,6,0.0
5518,0,0.0
5526,20,0.0
5529,21,0.0
5540,0,0.0
5543,6,0.0
5552,6,0.0
5554,10,0.0
5564,15,0.0
5579,-1,0.0
5590,8,0.0
5594,9,0.0
5612,-1,0.0
5619,3,0.0
5626,8,0.0
5633,0,0.0
5677,21,0.0
5706,21,0.0
5723,22,0.0
5726,23,0.0
5737,-1,0.0
5751,9,0.0
5762,2,0.0
5767,24,0.0
5796,0,0.0
5803,-1,1.0
5807,13,1.0
5828,13,1.0
5831,13,1.0
5845,13,1.0
5876,167,1.0
5880,46,1.0
5882,-1,0.1666666666666666
5884,13,1.0
5887,13,1.0
5890,25,1.0
5895,26,1.0
5898,13,1.0
5902,-1,0.25
5903,13,1.0
5908,13,1.0
5925,13,1.0
5930,13,1.0
5934,13,1.0
5941,25,1.0
5942,13,1.0
5947,13,1.0
5951,27,1.0
5954,13,1.0
5957,13,1.0
5972,13,1.0
5976,13,1.0
5985,28,1.0
5992,11,1.0
6006,11,1.0
6009,11,1.0
6012,29,1.0
6020,34,1.0
6029,30,1.0
6041,11,1.0
6044,11,1.0
6049,-1,1.0
6060,5,1.0
6081,31,1.0
6090,5,1.0
6099,5,1.0
6101,5,1.0
6108,5,1.0
6118,5,1.0
6122,-1,1.0
6126,5,1.0
6127,5,1.0
6138,32,1.0
6141,-1,1.0
6145,6,1.0
6147,6,1.0
6152,6,1.0
6160,6,1.0
6161,33,1.0
6164,6,1.0
6165,6,1.0
6169,6,1.0
6171,6,1.0
6172,34,1.0
6183,6,1.0
6201,32,1.0
6203,6,1.0
6208,35,1.0
6209,36,1.0
6225,35,1.0
6237,0,1.0
6240,28,1.0
6247,37,1.0
6255,38,0.5
6257,0,1.0
6267,34,1.0
6282,0,1.0
6283,0,1.0
6287,0,1.0
6298,0,1.0
6325,0,1.0
6336,13,0.0
6352,3,0.0
6355,39,0.0
6356,40,0.0
6357,19,0.0
6375,40,0.0
6379,38,0.0
6383,-1,0.0
6397,41,0.0
6398,-1,0.0
6400,11,0.0
6404,0,0.0
6408,34,0.0
6415,31,0.0
6430,53,0.0
6436,6,0.0
6447,8,0.0
6452,16,0.0
6466,11,0.0
6471,3,0.0
6474,-1,0.0
6476,0,0.0
6499,14,0.0
6513,8,0.0
6514,11,0.0
6527,22,0.0
6530,69,0.0
6540,13,0.0
6576,-1,0.0
6578,54,0.0
6584,3,0.0
6585,34,0.0
6602,8,0.0
6608,-1,0.0
6612,5,0.0
6617,42,0.0
6618,13,0.0
6620,43,0.0
6628,-1,0.0
6637,36,0.0
6644,-1,0.0
6654,117,0.0
6658,6,0.0
6681,-1,0.0
6686,14,0.2
6687,14,0.0
6695,23,0.0
6714,13,0.0
6718,44,0.0
6726,45,0.0
6735,54,0.0
6740,32,0.0
6750,5,0.0
6759,-1,0.0
6778,3,0.0
6797,-1,0.0
6810,3,0.0
6816,8,0.0
6820,30,0.0
6834,5,0.0
6848,46,0.0
6850,27,0.0
6860,9,0.0
6874,31,0.0
6877,6,0.0
6892,8,0.0
6893,38,0.0
6898,-1,0.0
6901,-1,0.0
6912,-1,0.0
6923,3,0.0
6924,8,0.0
6926,5,0.0
6932,6,0.0
6939,0,0.0
6947,-1,0.0
6957,3,0.0
6963,13,0.0
6965,47,0.0
6967,11,0.0
6968,48,0.0
6977,5,0.0
6983,2,0.3333333333333333
6992,-1,0.0
7004,-1,0.0
7005,-1,0.0
7009,49,0.0
7020,11,0.0
7024,35,0.0
7045,34,0.0
7047,13,0.0
7049,-1,0.0
7053,-1,0.0
7056,-1,0.0
7070,14,0.0
7075,36,0.0
7076,6,0.0
7084,13,0.0
7093,8,0.0
7107,50,0.0
7111,-1,0.0
7123,8,0.0
7131,42,0.0
7145,-1,0.0
7146,0,0.0
7153,27,0.0
7161,-1,0.0
7167,51,0.0
7169,13,0.0
7172,8,0.1666666666666666
7174,19,0.0
7184,3,0.0
7185,19,0.0
7189,51,0.0
7196,0,0.0
7212,-1,0.0
7228,6,0.0
7238,5,0.0
7240,31,0.0
7253,13,0.0
7284,14,0.0
7285,52,0.0
7286,30,0.0
7287,53,0.0
7288,54,0.0
7295,32,0.0
7302,53,0.0
7330,54,0.0
7332,13,0.0
7340,6,0.0
7346,11,0.0
7352,55,0.0
7365,56,0.0
7371,11,0.0
7390,11,0.0
7400,-1,0.0
7403,25,0.0
7421,30,0.0
7447,11,0.0
7448,-1,0.0
7453,57,0.0
7454,8,0.0
7457,18,0.0
7459,6,0.0
7469,34,0.0
7474,13,0.0
7508,58,0.0
7509,13,0.0
7510,11,0.0
7511,-1,0.0
7528,6,0.0
7539,32,0.0
7548,13,0.0
7549,59,0.0
7554,11,0.0
7555,29,0.0
7558,13,0.0
7574,40,0.0
7575,34,0.0
7578,0,0.0
7580,-1,0.0
7594,24,0.0
7597,34,0.0
7615,8,0.0
7635,-1,0.0
7665,13,0.0
7672,8,0.0
7674,5,0.0
7687,3,0.0
7694,-1,0.0
7695,-1,0.0
7705,51,0.0
7746,37,0.0
7749,14,0.0
7752,11,0.0
7754,57,0.0
7759,13,0.0
7779,-1,0.0
7786,48,0.0
7792,14,0.0
7796,31,0.0
7804,60,0.0
7808,-1,0.0
7812,3,0.0
7817,54,0.0
7825,32,0.0
7829,14,0.0
7833,9,0.0
7841,11,0.0
7857,8,0.0
7858,-1,0.0
7861,29,0.0
7864,3,0.0
7866,13,0.0
7867,8,0.0
7880,33,0.0
7891,8,0.0
7899,61,0.0
7915,3,0.0
7916,51,0.0
7928,-1,0.0
7939,8,0.0
7940,9,0.4
7942,3,0.0
7944,-1,0.0
7945,5,0.0
7946,11,0.0
7958,8,0.0
7963,14,0.0
7968,3,0.0
7974,23,0.0
7978,-1,0.0
7982,30,0.0
7993,31,0.0
7996,32,0.0
8008,8,0.0
8016,54,0.0
8040,-1,0.0
8042,38,0.0
8043,13,0.0
8044,48,0.0
8060,35,0.0
8061,0,0.0
8063,29,0.0
8085,54,0.0
8086,90,0.0
8088,36,0.0
8095,3,0.0
8100,30,0.0
8113,3,0.0
8117,42,0.0
8126,-1,0.0
8127,3,0.0
8131,8,0.0
8132,0,0.0
8143,54,0.0
8144,38,0.0
8165,9,0.0
8175,3,0.0
8184,3,0.0
8198,13,0.0
8219,8,0.0
8235,8,0.0
8255,24,0.0
8256,5,0.0
8284,34,0.0
8321,6,0.0
8323,-1,0.0
8332,11,0.0
8372,3,0.0
8375,-1,0.0
8378,8,0.0
8383,14,0.0
8389,8,0.0
8393,3,0.0
8400,21,0.0
8402,3,0.0
8406,-1,0.0
8455,-1,0.0
8466,8,0.0
8487,0,0.0
8493,-1,0.0
8494,3,0.0
8495,11,0.0
8497,8,0.0
8521,0,1.0
8523,8,0.0
8525,9,0.0
8526,46,0.0
8535,6,0.0
8537,-1,0.0
8538,8,0.0
8542,8,0.0
8545,0,0.0
8554,6,1.0
